country_code
AE
AF
AM
AZ
BD
BF
BI
BJ
BR
BY
CD
CM
CN
CU
DZ
EC
EG
ES
ET
GA
GB
GN
GQ
HK
ID
IN
IQ
IR
IT
JO
KE
KG
KH
KZ
LB
LK
LY
MA
ML
MM
MU
MY
NG
NP
OM
PH
PK
QA
RU
SA
SD
SN
SO
SR
SS
SZ
TD
TG
TH
TJ
TM
TN
TR
TZ
UA
UG
UZ
VE
VN
YE
ZM
ZW
